path1, path2
0, 0
46948, 99745
101999, 112356
77308, 142596
117171, 119776
53917, 54173
1876, 44386
67550, 134152
126540, 54855
88888, 21788
54173, 10814
19684, 62424
44386, 71331
119776, 42075
62424, 5239
54855, 103521
22843, 8787
21788, 131818
18008, 1955
60921, 86753
5239, 96655
39829, 90575
12138, 99656
10693, 44693
101521, 19965
121505, 44522
129703, 65201
29998, 31911
111060, 59843
144801, 60883
37453, 43388
78184, 89886
21825, 99325
75529, 116521
136011, 59127
64410, 29769
22021, 47407
10464, 73140
103431, 65153
16510, 133188
23886, 60233
59911, 120034
142894, 62966
43526, 134741
101250, 97029
94598, 18746
104376, 7600
16691, 31799
73213, 99076
32200, 81868
131140, 121027
12783, 71096
44769, 7690
69591, 103791
74519, 111782
128526, 37870
79947, 53706
71052, 6048
73693, 69062
66246, 132060
88575, 104543
41162, 35854
44259, 35209
110213, 126019
39341, 33817
148243, 98902
63770, 128733
142268, 105826
129991, 12978
2246, 46642
72742, 114105
96636, 135983
15473, 6142
69739, 131370
3852, 109977
97615, 68630
17745, 83465
112727, 127180
114004, 29636
117777, 43802
106744, 75819
100781, 130478
135365, 82923
85712, 145244
54541, 40410
137737, 97115
31967, 133407
126574, 133211
70125, 53445
94688, 124432
56507, 146865
51372, 85764
122090, 91197
37442, 79764
121164, 54374
109897, 38223
91068, 36906
7856, 55941
84954, 88027
114522, 17426
138748, 29163
47652, 74005
136927, 14036
74566, 149744
122051, 4203
17558, 117144
60601, 89291
7194, 41324
56435, 61344
18054, 39885
68381, 60783
77606, 35941
118990, 11677
114409, 118375
114236, 100786
110146, 106660
103521, 15520
40557, 22780
8787, 8166
1955, 57317
149393, 7112
131818, 147752
104888, 78803
61577, 105287
80922, 37678
4486, 149821
31118, 10044
149385, 135384
62335, 140514
35227, 73252
21807, 113818
111919, 75295
78448, 128641
101346, 145677
99656, 115052
19965, 54429
48277, 11565
18219, 27570
144188, 123845
44522, 131882
137690, 88093
65201, 143835
87484, 129451
59843, 137958
64582, 109888
62010, 119646
30677, 80110
62795, 133441
98175, 90956
39583, 35703
105476, 23379
104235, 96740
86008, 21057
96830, 116323
118160, 116406
8923, 49070
99595, 145369
48911, 63120
67720, 4650
60883, 84379
53667, 31572
35994, 111040
31911, 78893
96223, 69140
34826, 81233
27418, 127001
22880, 126732
44271, 18109
59257, 16878
21026, 58492
96655, 117579
124873, 111501
44693, 51096
25254, 60739
113815, 18217
56588, 79160
114082, 83112
58011, 84855
27105, 145278
54016, 83616
18649, 69868
43218, 122094
59127, 24436
35098, 49616
84832, 106016
62966, 96885
47407, 65378
80151, 38959
29769, 86726
73140, 33849
45514, 11023
142491, 48253
137790, 144993
137576, 82450
55112, 81846
25295, 69231
116471, 111252
87574, 63435
144306, 50336
18896, 128705
13931, 40482
20787, 83001
91375, 79838
26902, 95535
65113, 105540
149369, 139601
135123, 70464
57230, 122405
30816, 118456
86780, 4866
144029, 37264
99691, 113324
12169, 19089
82536, 55415
96434, 43631
116907, 49500
46873, 111625
77064, 102586
19963, 110905
50741, 72098
83001, 99022
46702, 133640
69231, 82611
128705, 132431
83616, 91114
50336, 78575
69868, 46628
116323, 31137
84855, 58314
145369, 37141
83112, 111237
4866, 145458
126283, 2421
70464, 72707
118456, 130286
145278, 522
79160, 44452
51096, 60787
63120, 37107
49070, 37884
35703, 133223
4650, 120786
133441, 46649
84379, 121962
111040, 116487
58492, 33923
111501, 12719
60739, 98831
117579, 144267
49500, 121994
133640, 69204
72098, 130855
82611, 132025
91114, 78401
46628, 55213
60787, 133048
522, 126048
46649, 1918
98831, 128946
17354, 48972
120786, 12707
37884, 33460
110102, 90798
127193, 79139
53308, 127792
85801, 72890
11107, 101350
78575, 61654
128421, 97985
37107, 75818
133223, 125140
127381, 102266
83720, 75798
117273, 60357
121236, 104236
59884, 10142
127168, 18390
36712, 29300
46942, 25282
18523, 440
120462, 38027
126892, 25151
137424, 64306
45463, 43566
125235, 40394
76981, 89020
63414, 116631
73671, 147875
111791, 29407
82902, 79385
66131, 44947
77716, 127266
118268, 23050
15838, 129651
7279, 33688
149807, 94886
76654, 100236
52232, 520
59492, 16357
67535, 132610
4692, 146826
23599, 43804
118398, 116416
16065, 118617
106979, 8693
119432, 68557
126687, 89135
122690, 99705
78869, 56091
115384, 9392
139965, 18633
149595, 883
30161, 26325
51807, 86523
29679, 59613
117861, 130892
29739, 29529
95306, 76461
97121, 17572
133035, 17950
9028, 51326
62480, 25509
55699, 66986
965, 61136
93125, 84559
91460, 101214
122416, 149687
19822, 69920
17215, 105374
3421, 100242
77035, 34385
26057, 100830
27693, 84364
136523, 3272
102226, 28903
49634, 74609
24950, 33644
40527, 119066
56371, 42564
82872, 129718
53680, 23994
61388, 3177
108688, 66951
120686, 131927
78312, 34725
126455, 7022
57091, 30656
114794, 145256
94336, 47926
136766, 15724
65655, 2941
80574, 54400
119957, 28784
54927, 41737
113543, 108656
23309, 15258
100111, 137020
68355, 25189
128235, 99907
40895, 32415
125876, 18013
116087, 31006
125490, 66241
29630, 142165
73017, 134339
116176, 93926
65787, 92437
88657, 45290
81416, 119754
98736, 78924
132306, 120248
136634, 32219
54484, 24252
100411, 22637
21596, 80828
31720, 22430
103348, 11361
106813, 83089
33564, 144061
103836, 72828
58723, 9218
54525, 17481
55636, 111296
69809, 139675
91513, 21356
65010, 120528
14280, 17862
95685, 50236
133295, 47106
26855, 131791
102816, 17911
129746, 146724
60600, 88009
4609, 58368
96256, 66166
120898, 141281
47395, 118901
132157, 30960
125259, 25319
114514, 107948
64203, 31429
114477, 69529
83671, 83345
21156, 12136
29747, 53058
137171, 138652
10049, 68955
122519, 85409
16673, 8237
43365, 79044
37440, 82887
108031, 127121
105164, 84268
2442, 30089
102268, 118432
52611, 50097
24400, 51028
67799, 98692
99789, 37384
133843, 122541
65153, 74167
134741, 99136
60233, 60925
81868, 54408
97029, 124991
120034, 75949
67473, 3293
7600, 311
104543, 19966
69062, 59519
75269, 86463
133078, 93683
53706, 1917
9615, 145355
142047, 13387
17206, 5690
109977, 135338
83465, 4611
4060, 77882
29636, 60770
75819, 89943
82923, 110154
4113, 75535
130478, 78353
140882, 140587
38223, 2473
89175, 40264
79372, 138470
62961, 94331
148848, 36597
34613, 63394
107903, 84229
81255, 31059
34927, 124503
111413, 54357
92289, 4784
74318, 88806
10185, 7260
106625, 96845
46976, 77637
58747, 16872
33538, 102124
144067, 110953
128532, 27885
65964, 116670
14600, 84200
97188, 97808
55942, 67908
113135, 135332
123270, 77730
70985, 91039
45343, 9533
29348, 73493
49785, 42331
25232, 54148
62840, 131126
17882, 124741
116973, 105743
121541, 26949
9466, 125429
5591, 137984
70674, 70097
9071, 19102
120352, 26690
44594, 14371
50206, 80215
96954, 20514
17426, 119082
115177, 38761
88027, 15
38959, 95210
74005, 143784
49616, 10426
14036, 41849
96885, 119366
63246, 3912
89291, 63871
137958, 113382
119646, 125662
143835, 51690
17432, 15567
39885, 32305
129451, 35882
61344, 134167
60783, 128586
11677, 62942
78803, 4573
100786, 95817
137322, 105928
65545, 1281
105287, 44779
149821, 104787
142095, 935
113818, 31493
113144, 137440
75295, 122401
145677, 37983
54429, 17379
27570, 5341
81233, 82038
126732, 19254
37141, 86925
31137, 16726
44452, 72052
130286, 147192
111237, 93528
127001, 43774
145458, 108378
115052, 6958
61654, 14218
81999, 132230
33923, 74147
75818, 111944
69204, 63463
42881, 64196
132025, 77200
8236, 99456
78401, 149213
133048, 14702
60357, 59068
55213, 66067
75798, 6101
48972, 132294
104236, 97866
128946, 12743
126156, 981
146826, 89404
16357, 86426
100236, 25869
31292, 29454
74998, 94458
141830, 109476
100087, 90322
28803, 21031
129012, 122272
28738, 49072
90091, 52116
42831, 65280
42727, 10869
33862, 65550
66775, 39710
33688, 94123
53299, 83922
23050, 88145
56273, 5002
80963, 144412
124642, 119850
128031, 71372
57312, 114953
148700, 135335
77643, 38004
112230, 72753
120967, 114022
115194, 99119
89830, 1834
3788, 42763
147913, 39177
78800, 10596
121855, 105697
17776, 17341
1667, 33613
58109, 7607
61360, 87285
27717, 17776
149007, 78800
132713, 20947
79593, 73490
123030, 120666
812, 72643
14149, 12495
62326, 111620
31283, 38513
66859, 121860
101102, 31283
57366, 110767
7917, 62326
130907, 77788
30954, 136802
22199, 29303
38163, 123030
77788, 38163
38571, 14149
64398, 66859
110767, 57366
134080, 30954
70590, 61360
95026, 60415
72414, 58109
24375, 130907
13360, 1667
67090, 7917
50669, 130304
71016, 124029
144235, 101102
144618, 22199
92378, 149007
133697, 26228
139151, 110256
116740, 83598
98128, 30454
44943, 57430
60795, 59490
78229, 27717
58581, 132713
86765, 78912
28186, 79593
39254, 138995
93710, 125101
70418, 135739
26371, 147586
126575, 933
16259, 25740
57355, 147285
53603, 145634
122418, 134181
37929, 41379
99481, 32819
42298, 48874
81831, 87359
70962, 62441
16120, 34350
33422, 32005
109731, 28970
123067, 66862
32141, 99307
29241, 64583
55430, 26604
41305, 5372
146466, 6739
94480, 79816
22427, 80362
7946, 29856
45171, 89690
65230, 14397
41587, 75699
127768, 131164
65358, 75616
49754, 58244
29331, 67788
86235, 50661
91144, 60075
139469, 121536
92051, 91782
19674, 145228
84748, 52221
63463, 22000
14218, 36535
43774, 4224
147192, 99105
77200, 13029
16726, 108227
99456, 66807
72052, 64378
2032, 78919
92429, 65230
133160, 146324
86426, 41587
60075, 126036
25869, 127768
89404, 86235
94458, 65358
42331, 114923
143982, 12716
54148, 52507
148956, 41305
131126, 84862
121092, 121754
141995, 139297
83233, 82853
122085, 29241
127156, 123067
33167, 33422
19102, 116740
11284, 126862
118901, 139151
123796, 32141
14970, 133697
87377, 144618
141281, 55430
107948, 71016
66166, 67090
117700, 18687
99737, 13360
51789, 95026
71789, 138373
35092, 134080
29854, 64398
132321, 70590
29254, 2642
24413, 38571
21185, 59706
46129, 105274
41897, 64798
4025, 9635
107749, 46113
131747, 123095
21031, 91849
65280, 45171
91782, 98813
10869, 94480
52221, 50669
32819, 22427
87359, 108342
134181, 7946
62441, 65191
79816, 146466
34350, 144235
6739, 24375
148860, 58629
26604, 70382
83598, 92378
40532, 123735
30454, 89517
110256, 98128
78912, 16120
26228, 44943
59490, 28186
10596, 93710
60415, 86765
7607, 78229
17341, 136236
86292, 145825
105697, 87515
39177, 36951
57430, 86628
1834, 83961
63971, 48620
12621, 75975
99119, 48962
9257, 147408
114022, 54421
127266, 5309
79385, 4386
72753, 85690
22245, 98679
38004, 6498
71372, 71863
43049, 94532
144412, 75096
133013, 54371
113471, 73582
117834, 42047
37581, 117172
70577, 129172
101402, 130501
104716, 123776
122272, 138789
52116, 125706
39710, 67892
83922, 8200
65550, 113179
28970, 116354
88145, 13033
38915, 61995
99307, 99913
32005, 81672
66862, 140230
48874, 83657
41379, 71880
58244, 78026
